Gene_Name,Mouse,Genotype,zygosity,Sex,Assay_Date,Colony_Prefix,Total_T_cells_-_%_of_CD45+,Ly6C+_CD5+_T_cells_-_%_of_CD5+_T_cells,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_NKT_cells,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Immature_NK_cells_-_%_of_NK_cells,Ly6C+_immature_NK_cells_-_%_of_immature_NK_cells,Mature_NK_cells_-_%_of_NK_cellls,Ly6C+_mature_NK_cells_-_%_of_mature_NK_cells,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Marginal_zone_B_cells_-_%_of_B2_cells,Marginal_zone_precursor_B_cells_-_%_of_B2_cells,Transitional_1_B_cells_-_%_of_B2_cells,Transitional_2_B_cells_-_%_of_B2_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Early_germinal_centre_B_cells_-_%_of_B2_cells,Late_germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Ly6C+_CD5+_T_cells_-_%_of_lymphocytes,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Ly6C+_NKT_cells_-_%_of_lymphocytes,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Immature_NK_cells_-_%_of_lymphocytes,Ly6C+_immature_NK_cells_-_%_of_lymphocytes,Mature_NK_cells_-_%_of_lymphocytes,Ly6C+_mature_NK_cells_-_%_of_lymphocytes,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Marginal_zone_B_cells_-_%_of_CD45+,Marginal_zone_precursor_B_cells_-_%_of_CD45+,Transitional_1_B_cells_-_%_of_CD45+,Transitional_2_B_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,B2_marginal_zone_+_precursor_cells_-_%_of_lymphocytes,B2_t1_+_t2_cells_-_%_of_lymphocytes,B2_t3_+_f1+_f2_+_gc_cells_-_%_of_lymphocytes,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Pth,M01522929,Pth:Hom,Hom,Male,2013-10-13,MFEQ,24.40388423,NA,94.547,52.651,84.813,23.84,73.803,0.754,15.592,62.052,36.892,10.425,39.509,6.661,30.648,56.819,2.4,5.453,NA,45.093,52.948,5.679,0.77,NA,42.413,50.685,46.414,32.232,57.587,50.801,42.018,10.504,2.708,29.285,70.822,38.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.073,12.148,10.303,2.456,7.604,0.078,1.894,1.175,0.699,0.197,9.116,0.607,2.794,5.18,0.219,1.331,NA,0.6,0.705,0.076,NA,0.166,0.152,0.105,0.444,0.225,0.186,0.047,0.793,1.918,1.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,M01522934,Pth:Hom,Hom,Female,2013-10-13,MFEQ,30.2891919,NA,95.072,52.555,89.165,22.595,73.267,0.758,11.155,67.634,31.513,8.2,41.265,6.864,21.821,59.42,1.031,4.928,NA,35.235,60.353,0.923,0.642,NA,44.656,35.684,59.722,7.265,55.344,59.138,30.345,12.414,2.672,25.653,74.541,53.416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.797,15.134,13.494,3.049,9.887,0.102,1.688,1.142,0.532,0.138,11.883,0.816,2.593,7.061,0.123,1.493,NA,0.526,0.901,0.014,NA,0.102,0.171,0.021,0.355,0.21,0.108,0.044,0.685,1.992,1.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pth,M01522935,Pth:Hom,Hom,Female,2013-10-13,MFEQ,32.51360877,NA,95.618,55.63,86.661,13.873,83.515,0.459,13.724,49.67,48.376,6.239,38.146,2.986,17.724,74.56,1.068,4.382,NA,30.236,65.903,1.01,0.951,NA,36.697,45.096,51.421,11.182,63.303,77.152,15.197,7.598,2.696,20.688,79.478,53.155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.089,17.295,14.988,2.079,12.517,0.069,2.373,1.179,1.148,0.148,11.859,0.354,2.102,8.842,0.127,1.425,NA,0.431,0.939,0.014,NA,0.157,0.179,0.039,0.602,0.464,0.091,0.046,0.558,2.143,1.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,M01524094,Ankrd9:Hom,Hom,Male,2013-10-13,MEVW,22.50067726,NA,94.728,53.839,82.271,23.909,70.788,0.667,18.311,65.954,32.458,7.819,37.502,5.027,25.183,63.909,1.067,5.272,NA,41.066,56.566,0.634,0.707,NA,44.906,34.387,63.32,6.64,55.094,73.711,21.07,5.155,2.537,23.631,76.508,30.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.314,11.475,9.441,2.257,6.683,0.063,2.101,1.386,0.682,0.164,7.993,0.402,2.013,5.109,0.085,1.186,NA,0.487,0.671,0.008,NA,0.109,0.201,0.021,0.389,0.287,0.082,0.02,0.599,1.941,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,M01524095,Ankrd9:Hom,Hom,Male,2013-10-13,MEVW,25.17353171,NA,94.763,54.446,80.993,32.63,60.946,1.332,19.749,74.609,24.054,8.942,35.476,7.76,34.787,51.941,1.592,5.237,NA,43.554,53.282,0.527,0.828,NA,46.333,30.257,66.589,6.308,53.667,59.203,32.93,8.371,2.561,27.149,73.034,32.971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.855,12.988,10.52,3.433,6.411,0.14,2.565,1.914,0.617,0.229,8.463,0.657,2.944,4.396,0.135,1.318,NA,0.574,0.702,0.007,NA,0.116,0.256,0.024,0.445,0.263,0.146,0.037,0.695,1.87,0.844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ankrd9,M01524098,Ankrd9:Hom,Hom,Female,2013-10-13,MEVW,26.17472474,NA,94.133,53.789,83.496,24.283,70.917,0.44,17.003,65.287,33.614,8.593,37.916,4.112,22.116,66.471,0.274,5.867,NA,40.847,55.636,0.961,0.889,NA,37.807,44.201,53.213,5.721,62.193,79.466,16.151,5.908,2.533,29.243,70.975,48.066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.639,13.253,11.066,2.687,7.848,0.049,2.253,1.471,0.757,0.194,9.342,0.384,2.066,6.21,0.026,1.536,NA,0.627,0.854,0.015,NA,0.149,0.179,0.019,0.553,0.439,0.089,0.033,0.741,1.798,1.218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tceal5,M01532666,Tceal5(b):Hom,Hom,Female,2013-10-13,MUAM,29.388646,NA,94.657,53.494,85.717,22.724,72.398,1.292,14.823,63.528,34.758,8.54,37.017,4.105,23.45,65.766,0.598,5.343,NA,38.667,57.189,0.938,1.127,NA,36.734,34.254,58.205,5.629,63.266,64.662,26.704,6.29,2.292,30.319,69.997,43.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.819,14.881,12.756,2.899,9.235,0.165,2.206,1.401,0.767,0.188,10.298,0.423,2.415,6.772,0.062,1.57,NA,0.607,0.898,0.015,NA,0.142,0.241,0.023,0.713,0.461,0.19,0.045,0.695,1.605,0.989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tmem254b,M01543300,Tmem254b:Hom,Hom,Male,2013-10-23,MFHM,36.233,NA,96.233,54.606,89.97,20.359,78.473,0.722,9.907,46.499,53.01,6.152,41.057,10.619,15.095,52.726,0.877,3.767,NA,49.22,46.077,0.791,0.675,NA,50.366,46.231,54.133,4.632,49.634,80.184,18.341,7.65,2.982,19.251,81.018,42.393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.159,9.286,6.919,NA,NA,9.894,38.291,14.901,85.099,60.88,36.377,8.285,NA,34.868,19.04,17.13,3.488,13.443,0.124,1.886,0.877,1,0.116,14.316,1.52,2.161,7.548,0.126,1.365,NA,0.672,0.629,0.011,NA,0.34,0.157,0.184,0.016,0.335,0.268,0.061,0.026,0.574,2.416,1.264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758,0.564,NA,NA,0.807,3.124,0.466,2.658,1.618,0.967,0.08
Klc2,M01527303,WT,WT,Female,2013-10-23,MFAT,24.534,NA,94.341,49.182,92.841,43.373,53.764,1.197,7.073,86.694,12.787,10.675,44.681,16.214,19.137,43.311,1.498,5.659,NA,62.863,32.689,1.999,0.451,NA,69.775,47.204,53.081,4.36,30.225,67.396,31.947,11.379,2.817,38.983,61.472,45.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.457,13.335,20.056,NA,NA,6.514,29.65,12.045,87.955,54.814,43.038,11.738,NA,23.145,11.383,10.568,4.584,5.682,0.127,0.805,0.698,0.103,0.086,10.342,1.677,1.979,4.479,0.155,1.388,NA,0.873,0.454,0.028,NA,0.315,0.149,0.167,0.014,0.136,0.092,0.044,0.016,1.098,1.732,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.128,1.696,NA,NA,0.551,2.507,0.302,2.205,1.209,0.949,0.111
Klc2,M01527304,WT,WT,Female,2013-10-23,MFAT,25.385,NA,94.529,59.157,89.835,39.718,57.351,6.079,10.033,69.671,29.616,10.354,35.34,10.87,18.719,54.405,1.686,5.471,NA,55.577,41.092,1.332,0.55,NA,39.142,45.908,53.814,6.935,60.858,87.154,11.24,6.69,2.081,34.342,66.102,53.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.969,4.577,15.211,NA,NA,25.497,25.662,13.594,86.406,49.507,47.343,19.891,NA,23.996,14.195,12.752,5.065,7.314,0.775,1.424,0.992,0.422,0.147,8.48,0.922,1.587,4.614,0.143,1.389,NA,0.772,0.571,0.019,NA,0.215,0.099,0.116,0.015,0.335,0.292,0.038,0.022,0.715,1.375,1.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.502,1.668,NA,NA,2.797,2.815,0.383,2.432,1.204,1.151,0.229
BC023829,M01531745,WT,WT,Male,2013-10-23,MECU,26.956,NA,95.76,50.828,92.756,20.291,78.682,1.105,7.133,58.927,40.179,7.154,44.091,7.093,26.148,56.265,0.859,4.24,NA,47.306,50.314,0.392,0.497,NA,62.079,32.043,67.861,10.165,37.921,53.09,45.483,9.667,2.846,16.948,83.335,43.925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.751,11.14,7.907,NA,NA,9.84,31.996,14.559,85.441,52.852,44.56,12.72,NA,25.813,13.12,12.17,2.469,9.575,0.134,0.936,0.551,0.376,0.067,11.381,0.807,2.976,6.404,0.098,1.143,NA,0.541,0.575,0.004,NA,0.309,0.099,0.21,0.031,0.189,0.1,0.086,0.018,0.482,2.372,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.086,0.771,NA,NA,0.959,3.12,0.454,2.666,1.409,1.188,0.151
BC023829,M01531747,WT,WT,Male,2013-10-23,MECU,27.618,NA,95.144,51.109,91.392,28.935,69.064,1.002,8.509,64.052,35.51,6.452,42.552,8.419,30.794,50.105,1.633,4.856,NA,45.954,51.473,2.507,0.794,NA,58.12,30.115,70.205,4.284,41.88,73.824,25.288,4.88,3.211,17.421,82.873,40.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.025,11.209,9.105,NA,NA,8.941,35.375,13.193,86.807,55.01,41.965,10.433,NA,26.277,13.43,12.274,3.551,8.477,0.123,1.143,0.732,0.406,0.074,11.181,0.941,3.443,5.602,0.183,1.341,NA,0.616,0.69,0.034,NA,0.461,0.139,0.324,0.02,0.332,0.245,0.084,0.016,0.559,2.661,1.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.012,0.822,NA,NA,0.807,3.193,0.421,2.772,1.525,1.163,0.121
Mcf2l,M01536301,Mcf2l:Hom,Hom,Male,2013-10-23,MFPT,29.059,NA,95.583,55.063,90.766,29.095,66.466,0.867,9.098,55.211,44.204,6.111,40.221,5.211,24.173,59.251,1.177,4.417,NA,47.71,49.307,0.846,0.577,NA,54.859,36.381,63.714,3.143,45.141,75.926,22.106,8.102,4.056,14.16,86.129,42.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.878,11.65,10.838,NA,NA,9.436,33.094,17.491,82.509,59.521,37.682,15.634,NA,27.775,15.294,13.882,4.039,9.227,0.12,1.391,0.768,0.615,0.085,11.172,0.582,2.701,6.619,0.131,1.283,NA,0.612,0.633,0.011,NA,0.317,0.115,0.202,0.01,0.26,0.198,0.058,0.021,0.574,3.493,1.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.151,1.071,NA,NA,0.932,3.269,0.572,2.697,1.605,1.016,0.159
Mcf2l,M01536303,Mcf2l:Hom,Hom,Male,2013-10-23,MFPT,20.103,NA,92.74,46.366,94.544,78.337,9.506,1.89,5.398,98.366,0.852,21.449,45.299,38.207,1.99,3.171,2.205,7.26,NA,81.585,13.283,3.701,0.341,NA,73.833,90.119,10.145,5.665,26.167,55.39,45.353,19.331,6.059,70.572,30.062,41.741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.181,13.222,28.016,NA,NA,1.88,25.005,5.238,94.762,51.403,46.566,11.286,NA,18.644,8.644,8.173,6.402,0.777,0.154,0.467,0.459,0.004,0.1,8.445,3.227,0.168,0.268,0.186,1.46,NA,1.191,0.194,0.054,NA,0.252,0.227,0.026,0.014,0.089,0.049,0.04,0.017,4.276,1.822,2.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.611,3.413,NA,NA,0.229,3.046,0.16,2.886,1.484,1.344,0.152
Mcf2l,M01536306,Mcf2l:Hom,Hom,Female,2013-10-23,MFPT,31.087,NA,95.262,59.072,90.532,33.811,63.009,1.547,9.324,60.288,39.213,6.317,36.337,10.661,14.972,52.314,1.758,4.738,NA,55.696,39.62,1.309,0.571,NA,45.805,51.267,48.618,5.184,54.195,75.56,22.298,13.437,2.689,29.916,70.521,52.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85,14.092,8.906,NA,NA,11.977,30.505,17.583,82.417,53.953,44.523,23.462,NA,29.614,17.494,15.837,5.355,9.979,0.245,1.631,0.983,0.64,0.103,10.761,1.147,1.611,5.629,0.189,1.473,NA,0.82,0.584,0.019,NA,0.262,0.134,0.127,0.014,0.309,0.234,0.069,0.042,0.804,1.896,1.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.106,0.699,NA,NA,0.94,2.395,0.421,1.974,1.065,0.879,0.206
Sgms1,M01536876,Sgms1:Hom,Hom,Female,2013-10-23,MEBK,38.489,NA,96.443,57.548,92.558,29.118,66.631,0.611,7.285,61.354,37.867,7.122,38.415,10.594,19.993,53.856,0.372,3.557,NA,55.054,39.35,0.686,0.58,NA,48.642,51.45,48.765,1.719,51.358,80.57,17.904,4.374,1.89,37.146,63.239,40.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.237,4.111,8.251,NA,NA,6.289,21.083,9.809,90.191,50.613,46.869,5.04,NA,37.12,21.362,19.772,5.757,13.174,0.121,1.556,0.955,0.589,0.111,14.26,1.511,2.851,7.68,0.053,1.369,NA,0.754,0.539,0.009,NA,0.282,0.145,0.137,0.005,0.298,0.24,0.053,0.013,0.702,1.195,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.421,0.845,NA,NA,0.644,2.158,0.212,1.947,0.985,0.912,0.046
Pthlh,M01537609,WT,WT,Female,2013-10-23,MFMW,34.248,NA,94.707,54.11,91.231,17.428,81.867,0.712,8.647,45.46,54.133,6.901,40.032,7.46,16.647,61.062,0.488,5.293,NA,40.055,56.758,2.028,0.866,NA,50.5,37.88,62.332,2.686,49.5,78.731,19.683,6.489,2.801,22.146,78.063,52.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.045,13.904,13.835,NA,NA,9.295,26.191,18.252,81.748,52.042,44.631,8.483,NA,32.435,17.551,16.012,2.791,13.108,0.114,1.518,0.69,0.822,0.105,12.984,0.969,2.162,7.929,0.063,1.813,NA,0.726,1.029,0.037,NA,0.437,0.166,0.273,0.012,0.429,0.337,0.084,0.028,0.62,2.187,1.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.119,1.113,NA,NA,0.748,2.107,0.385,1.723,0.896,0.769,0.065
Dpy30,M01540636,Dpy30:Het,Het,Male,2013-10-23,MFKN,31.606,NA,95.592,53.222,89.819,22.594,75.012,1.319,10.041,46.529,52.987,4.775,41.832,3.821,24.021,66.63,1.048,4.408,NA,49.537,48.757,7.972,0.685,NA,48.86,29.615,70.487,4.462,51.14,78.585,20.446,4.748,2.539,18.403,81.824,38.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.745,9.497,7.843,NA,NA,8.202,34.74,15.919,84.081,56.855,40.854,9.421,NA,30.213,16.08,14.443,3.263,10.834,0.191,1.615,0.751,0.856,0.077,12.639,0.483,3.036,8.421,0.132,1.393,NA,0.69,0.679,0.111,NA,0.335,0.099,0.236,0.015,0.351,0.275,0.072,0.017,0.467,2.078,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.736,0.607,NA,NA,0.635,2.691,0.428,2.262,1.286,0.924,0.087
Dpy30,M01540637,Dpy30:Het,Het,Male,2013-10-23,MFKN,31.915,NA,95.983,51.233,91.929,20.454,78.19,1.136,7.969,56.975,41.991,5.916,44.169,8.568,20.951,58.955,1.323,4.017,NA,50.023,47.935,1.197,0.577,NA,61.47,32.74,67.345,8.227,38.53,64.411,34.371,9.743,3.118,20.453,79.807,41.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.207,8.522,6.762,NA,NA,9.915,31.808,17.936,82.064,58.847,38.869,9.758,NA,30.633,15.694,14.428,2.951,11.281,0.164,1.251,0.713,0.525,0.074,13.53,1.159,2.835,7.977,0.179,1.282,NA,0.641,0.615,0.015,NA,0.355,0.116,0.239,0.029,0.222,0.143,0.076,0.022,0.638,2.488,1.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699,0.555,NA,NA,0.814,2.611,0.468,2.142,1.261,0.833,0.081
Tmem254b,M01543303,Tmem254b:Hom,Hom,Female,2013-10-23,MFHM,36.01,NA,96.062,48.722,91.137,22.053,77.102,0.818,8.73,46.883,52.803,5.544,44.756,9.529,17.141,55.262,0.519,3.938,NA,44.302,52.442,0.543,1.189,NA,45.871,63.77,36.4,1.242,54.129,89.096,9.995,4.113,2.07,26.112,74.305,50.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.647,10.204,14.015,NA,NA,8.626,26.487,18.735,81.265,58.708,39.121,5.345,NA,34.592,16.854,15.36,3.387,11.843,0.126,1.471,0.69,0.777,0.082,15.482,1.475,2.654,8.556,0.08,1.418,NA,0.628,0.744,0.008,NA,0.545,0.348,0.199,0.007,0.644,0.573,0.064,0.026,0.541,1.538,1.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,1.072,NA,NA,0.66,2.026,0.379,1.646,0.966,0.644,0.034
Lyplal1,M01543471,Lyplal1:Hom,Hom,Female,2013-10-23,MFPU,30.494,NA,95.374,51.116,90.886,32.295,64.187,2.758,9.001,60.099,39.34,6.441,42.886,6.973,22.177,57.132,0.782,4.626,NA,50.671,46.349,0.724,0.851,NA,41.405,47.911,52.6,3.154,58.595,83.675,15.181,8.253,2.933,26.106,74.335,53.184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.027,10.109,9.229,NA,NA,10.65,33.841,17.026,82.974,48.372,49.191,17.985,NA,29.083,14.866,13.511,4.363,8.672,0.373,1.338,0.804,0.526,0.086,12.473,0.87,2.766,7.126,0.098,1.411,NA,0.715,0.654,0.01,NA,0.352,0.169,0.185,0.011,0.498,0.417,0.076,0.041,0.766,2.18,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811,0.741,NA,NA,0.855,2.716,0.463,2.254,1.09,1.109,0.199
