Mouse,Genotype,Colony_Prefix,Sex,Gene_Name,period,start,Age_In_Weeks,low_survival_spotted,start_weight,weigth_min,w_d7,auc_d7,Average_Histo_Score,E_score_Histo,M_score_Histo,surv_days,pre_d10_death
M02470086,Ceacam3:Hom,DACT,Female,Ceacam3,C,2016-09-05,8.1,NA,NA,-0.005154639175257623,0.010309278350515611,0.05154639175257769,NA,NA,NA,10,FALSE
M02470087,Ceacam3:Hom,DAEK,Female,Ceacam3,C,2016-09-05,8.1,NA,NA,-0.00518134715025914,0.020725388601036194,0.1968911917098444,NA,NA,NA,10,FALSE
M02470088,Ceacam3:Hom,DAEK,Female,Ceacam3,C,2016-09-05,8.1,NA,NA,-0.03381642512077292,-0.004830917874396033,-0.016908212560386285,NA,NA,NA,10,FALSE
M02470714,Zcchc11:Hom,MGYN,Female,Zcchc11,C,2016-08-08,5,NA,17.1,-0.22222222222222224,-0.11111111111111123,-0.23099415204678408,7,1,1,10,FALSE
M02471969,Glra4(b):Hom,DAEK,Female,Glra4,C,2016-09-05,8,NA,NA,-0.04368932038834961,-0.019417475728155442,0.029126213592232476,NA,NA,NA,10,FALSE
M02471970,Glra4(b):Hom,DAEK,Female,Glra4,C,2016-09-05,8,NA,NA,-0.1722488038277511,-0.038277511961722355,-0.0574162679425832,NA,NA,NA,10,FALSE
M02471971,Glra4(b):Hom,TCAX,Female,Glra4,C,2016-09-05,8,NA,NA,-0.1204188481675393,0.005235602094240726,0.1596858638743449,NA,NA,NA,10,FALSE
M02471972,Glra4(b):Hom,TCAX,Female,Glra4,C,2016-09-05,8,NA,NA,-0.09278350515463904,-0.04639175257731952,-0.12113402061855641,NA,NA,NA,10,FALSE
M02472072,Itln1:Hom,DAED,Female,Itln1,C,2016-09-05,7.1,NA,NA,-0.05649717514124294,0.011299435028248548,0.09039548022598909,NA,NA,NA,10,FALSE
M02472074,Itln1:Hom,DAED,Female,Itln1,C,2016-09-05,7.1,NA,NA,-0.09523809523809532,0.005952380952380825,0.18749999999999958,NA,NA,NA,10,FALSE
