Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,Total_B_cells_-_%_of_CD45+,B1a_cells_-_%_of_B_cells,Total_B2_cells_-_%_of_B_cells,Follicular_B_cells_-_%_of_B2_cells,Germinal_centre_B_cells_-_%_of_B2_cells,Plasma_cells_-_%_of_B2_cells,Memory_B_cells_-_%_of_B2_cells,B2_marginal_zone_+_precursor_cells_-_%_of_B2_cells,B2_t1_+_t2_cells_-_%_of_B2_cells,B2_t3_+_f1_+_f2_+_gc_cells_-_%_of_B2_cells,B1a_cells_-_%_of_CD45+,Total_B2_cells_-_%_of_CD45+,Follicular_B_cells_-_%_of_CD45+,Germinal_centre_B_cells_-_%_of_CD45+,Early_germinal_centre_B_cells_-_%_of_CD45+,Late_germinal_centre_B_cells_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,Memory_B_cells_-_%_of_CD45+,Total_T_cells_-_%_of_CD45+,Total_ab_T_cells_-_%_of_total_T_cells,Total_CD4+_T_cells_-_%_of_ab_T_cells,CD4+_T_helper_cells_-_%_of_CD4+,Effector_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Resting_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,KLRG1+_CD4+_T_helper_cells_-_%_of_CD4+_T_helper_cells,Total_Treg_cells_-_%_of_CD4+,Effector_Treg_cells_-_%_of_Treg,Resting_Treg_cells_-_%_of_Treg,KLRG1+_Treg_cells_-_%_of_Treg,Total_CD8+_T_cells_-_%_of_ab_T_cells,Effector_CD8+_T_cells_-_%_of_CD8+,Resting_CD8+_T_cells_-_%_of_CD8+,Naive_CD8+_T_cells_-_%_of_CD8+,KLRG1+_CD8+_T_cells_-_%_of_CD8+,Total_gd_T_cells_-_%_of_total_T_cells,CD5+_gd_T_cells_-_%_of_gd_T_cells,Effector_gd_T_cells_-_%_of_gd_T_cells,Resting_gd_T_cells_-_%_of_gd_T_cells,KLRG1+_gd_T_cells_-_%_of_gd_T_cells,Total_NKT_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_NKT_cells,Effector_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Resting_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,KLRG1+_CD4-_NKT_cells_-_%_of_CD4-_NKT_cells,Total_CD4+_NKT_cells_-_%_of_NKT_cells,Effector_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Resting_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,KLRG1+_CD4+_NKT_cells_-_%_of_CD4+_NKT_cells,Total_NK_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_NK_cells,Resting_NK_cells_-_%_of_NK_cells,KLRG1+_NK_cells_-_%_of_NK_cells,Total_myeloid_cells_-_%_of_CD45+,Macrophages_-_%_of_myeloid_cells,Granulocytes_+_monocytes_-_%_of_myeloid_cells,Granulocytes_-_%_of_myeloid_cells,Monocytes_-_%_of_myeloid_cells,Eosinophils_-_%_of_myeloid_cells,Total_DC_-_%_of_myeloid_cells,Plasmacytoid_DC_-_%_of_DC,Conventional_DC_(cDC)_-_%_of_DC,Conventional_CD11b_type_DC_-_%_of_cDC,Conventional_CD8a_type_DC_-_%_of_cDC,CD103+_CD8a_type_DC_-_%_of_CD8_type_cDC,Total_ab_T_cells_-_%_of_CD45+,Total_CD4+_T_cells_-_%_of_CD45+,CD4+_T_helper_cells_-_%_of_CD45+,Effector_CD4+_T_helper_cells_-_%_of_CD45+,Resting_CD4+_T_helper_cells_-_%_of_CD45+,KLRG1+_CD4+_T_helper_cells_-_%_of_CD45+,Total_Treg_cells_-_%_of_CD45+,Effector_Treg_cells_-_%_of_CD45+,Resting_Treg_cells_-_%_of_CD45+,KLRG1+_Treg_cells_-_%_of_CD45+,Total_CD8+_T_cells_-_%_of_CD45+,Effector_CD8+_T_cells_-_%_of_CD45+,Resting_CD8+_T_cells_-_%_of_CD45+,Naive_CD8+_T_cells_-_%_of_CD45+,KLRG1+_CD8+_T_cells_-_%_of_CD45+,Total_gd_T_cells_-_%_of_CD45+,CD5+_gd_T_cells_-_%_of_CD45+,Effector_gd_T_cells_-_%_of_CD45+,Resting_gd_T_cells_-_%_of_CD45+,KLRG1+_gd_T_cells_-_%_of_CD45+,Total_CD4-_NKT_cells_-_%_of_CD45+,Effector_CD4-_NKT_cells_-_%_of_CD45+,Resting_CD4-_NKT_cells_-_%_of_CD45+,KLRG1+_CD4-_NKT_cells_-_%_of_CD45+,Total_CD4+_NKT_cells_-_%_of_CD45+,Effector_CD4+_NKT_cells_-_%_of_CD45+,Resting_CD4+_NKT_cells_-_%_of_CD45+,KLRG1+_CD4+_NKT_cells_-_%_of_CD45+,Effector_NK_cells_-_%_of_CD45+,Resting_NK_cells_-_%_of_CD45+,KLRG1+_NK_cells_-_%_of_CD45+,Macrophages_-_%_of_CD45+,Granulocytes_+_monocytes_-_%_of_CD45+,Granulocytes_-_%_of_CD45+,Monocytes_-_%_of_CD45+,Eosinophils_-_%_of_CD45+,Total_DC_-_%_of_CD45+,Plasmacytoid_DC_-_%_of_CD45+,Conventional_DC_-_%_of_CD45+,Conventional_CD11b_type_DC_-_%_of_CD45+,Conventional_CD8a_type_DC_-_%_of_CD45+,CD103+_CD8a_type_DC_-_%_of_CD45+
Bpifb5,MFGS,M01539425,Bpifb5:Hom,Hom,Female,2013-10-24,16.1,33.404,2.439,97.145,93.704,0.955,NA,NA,0.782,1.704,94.659,0.815,32.45,31.333,0.31,NA,NA,NA,NA,57.499,97.772,52.576,91.596,20.809,76.231,0.296,8.225,69.954,29.078,3.885,44.822,6.616,11.476,55.729,0.224,2.228,NA,32.607,53.283,0.171,0.331,50.19,33.837,66.163,3.214,49.81,39.429,40.952,41.714,0.474,43.974,56.358,18.874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.218,29.557,27.073,5.634,20.638,0.08,2.431,1.701,0.707,0.094,25.198,1.667,2.892,14.042,0.056,1.281,NA,0.418,0.682,0.002,0.166,0.056,0.11,0.005,0.165,0.065,0.067,0.069,0.208,0.267,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bpifb5,MFGS,M01539438,Bpifb5:Hom,Hom,Male,2013-10-30,16.3,26.447,1.436,98.25,88.103,4.404,NA,NA,1.743,4,92.507,0.38,25.984,23.348,1.144,NA,NA,NA,NA,55.665,98.065,53.537,91.499,16.465,82.138,0.118,8.368,60.976,38.452,3.164,44.909,5.366,11.727,65.722,0.157,1.935,NA,25.47,65.994,0.166,0.274,74.565,30.758,69.971,0.437,25.435,83.761,12.821,8.547,0.508,48.009,52.4,11.183,3.132,0.344,0.156,NA,NA,1.266,45.063,22.018,77.982,23.255,72.477,53.62,54.587,29.225,26.74,4.403,21.964,0.032,2.445,1.491,0.94,0.077,24.515,1.316,2.875,16.112,0.038,1.077,NA,0.274,0.711,0.002,0.204,0.063,0.143,0.001,0.07,0.058,0.009,0.006,0.244,0.266,0.057,0.011,0.005,NA,NA,0.04,1.412,0.311,1.101,0.256,0.798,0.428
Bpifb5,MFGS,M01539442,Bpifb5:Hom,Hom,Female,2013-10-30,16.3,22.148,2.002,97.578,84.808,6.545,NA,NA,2.579,3.646,91.353,0.443,21.611,18.852,1.414,NA,NA,NA,NA,57.77,97.747,55.571,91.721,16.965,81.772,0.166,8.134,63.432,36.189,2.394,42.664,5.633,8.956,68.711,0.266,2.253,NA,27.416,58.922,0.116,0.319,62.879,42.922,57.38,0.301,37.121,62.755,26.786,29.337,0.398,61.673,38.783,13.232,2.692,0.363,0.322,NA,NA,1.636,50.916,14.882,85.118,28.29,67.032,56.978,56.468,31.38,28.782,4.883,23.535,0.048,2.552,1.619,0.924,0.061,24.092,1.357,2.158,16.554,0.064,1.302,NA,0.357,0.767,0.002,0.201,0.086,0.115,0.001,0.119,0.074,0.032,0.035,0.245,0.154,0.053,0.01,0.009,NA,NA,0.044,1.371,0.204,1.167,0.33,0.782,0.446
Bpifb5,MFGS,M01539443,Bpifb5:Hom,Hom,Female,2013-10-30,16.3,25.075,2.151,97.417,85.25,5.04,NA,NA,1.738,5.389,90.29,0.539,24.427,21.455,1.231,NA,NA,NA,NA,55.556,97.626,53.766,91.494,19.935,78.496,0.296,8.377,70.28,29.23,3.683,44.193,7.425,10.148,60.345,0.171,2.374,NA,30.054,58.046,0.113,0.388,74.171,44.595,56.237,0.52,25.829,76.418,19.104,12.836,0.519,59.701,41.048,16.005,3.373,0.317,0.645,NA,NA,1.935,52.191,12.398,87.602,23.356,72.532,62.722,54.238,29.161,26.681,5.319,20.943,0.079,2.443,1.717,0.714,0.09,23.969,1.78,2.432,14.464,0.041,1.319,NA,0.396,0.765,0.001,0.288,0.128,0.162,0.001,0.1,0.077,0.019,0.013,0.31,0.213,0.083,0.011,0.022,NA,NA,0.065,1.761,0.218,1.542,0.36,1.119,0.702
Vps51,MFDC,M01540566,Vps51:Het,Het,Male,2013-10-24,15.7,29.467,1.514,98.05,94.543,1.597,NA,NA,1.296,0.614,96.14,0.446,28.892,27.879,0.461,NA,NA,NA,NA,52.057,97.433,47.184,91.252,16.927,82.203,0.293,8.593,61.027,38.701,3.779,50.381,4.488,21.477,66.347,0.213,2.567,NA,24.401,70.696,0.228,0.387,82.392,22.648,78.469,0.638,17.608,43.284,50,41.045,0.797,44.997,55.832,13.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.721,23.932,21.838,3.697,17.952,0.064,2.057,1.255,0.796,0.078,25.553,1.147,5.488,16.954,0.054,1.336,NA,0.326,0.945,0.003,0.318,0.072,0.25,0.002,0.068,0.029,0.034,0.028,0.359,0.445,0.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dpy30,MFKN,M01540636,Dpy30:Het,Het,Male,2013-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.083,97.948,50.069,91.629,14.117,84.67,0.267,8.252,61.898,37.59,2.933,48.183,4.832,13.988,67.526,0.185,2.052,NA,24.475,68.404,0.409,0.362,77.032,23.28,76.72,0.459,22.968,33.462,44.615,65.769,0.652,40.519,60.02,14.209,2.749,0.234,0.328,NA,NA,1.359,31.99,24.908,75.092,20.585,75.317,44.301,55.911,27.994,25.651,3.621,21.719,0.068,2.31,1.43,0.868,0.068,26.939,1.302,3.768,18.191,0.05,1.171,NA,0.287,0.801,0.005,0.279,0.065,0.214,0.001,0.083,0.028,0.037,0.055,0.264,0.392,0.093,0.006,0.009,NA,NA,0.037,0.879,0.219,0.66,0.136,0.497,0.22
Dpy30,MFKN,M01540637,Dpy30:Het,Het,Male,2013-10-23,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.325,97.723,53.117,93.553,23.052,71.851,0.233,6.354,73.298,25.843,2.911,45.034,11.839,9.2,33.697,0.207,2.277,NA,37.682,48.877,0.425,0.266,85.783,50.14,51.404,0,14.217,57.627,28.814,28.814,0.525,56.612,44.241,14.93,2.649,0.216,0.47,NA,NA,1.313,40.831,24.328,75.672,24.096,72.099,48.901,45.271,24.047,22.496,5.186,16.164,0.052,1.528,1.12,0.395,0.044,20.387,2.414,1.876,6.87,0.042,1.055,NA,0.397,0.515,0.004,0.228,0.114,0.117,0,0.038,0.022,0.011,0.011,0.297,0.232,0.078,0.006,0.012,NA,NA,0.035,1.081,0.263,0.818,0.197,0.59,0.289
Vps51,MFDC,M01540682,Vps51:Het,Het,Male,2013-10-24,15.7,31.15,1.754,97.812,94.749,1.012,NA,NA,1.261,0.79,95.761,0.546,30.468,29.535,0.308,NA,NA,NA,NA,57.086,98.158,53.989,92.66,15.025,83.399,0.235,7.192,68.007,31.268,2.884,44.207,5.031,12.696,64.807,0.233,1.842,NA,25.853,64.768,0.307,0.251,80.83,24.956,74.867,1.77,19.17,31.343,59.701,23.881,0.604,51.722,48.456,12.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.034,30.252,28.032,4.212,23.378,0.066,2.176,1.48,0.68,0.063,24.771,1.246,3.145,16.053,0.058,1.051,NA,0.272,0.681,0.003,0.203,0.051,0.152,0.004,0.048,0.015,0.029,0.011,0.312,0.293,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vps51,MFDC,M01541037,Vps51:Het,Het,Male,2013-10-24,15.7,22.41,1.198,98.369,94.986,0.716,NA,NA,2.16,0.507,95.702,0.268,22.044,21.298,0.158,NA,NA,NA,NA,61.259,97.904,52.426,91.558,15.485,82.658,0.226,8.349,65.973,33.489,2.546,45.737,2.886,18.241,65.426,0.168,2.096,NA,17.009,76.54,0.147,0.358,90.263,10.496,89.796,0.583,9.737,37.838,51.351,32.432,0.817,25.346,75.346,11.521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.975,31.443,28.788,4.458,23.796,0.065,2.625,1.732,0.879,0.067,27.431,0.792,5.004,17.947,0.046,1.284,NA,0.218,0.983,0.002,0.323,0.034,0.29,0.002,0.035,0.013,0.018,0.011,0.207,0.616,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Usp11,MFVM,M01542047,WT,WT,Male,2013-11-06,16.1,36.379,2.04,97.814,92.21,1.549,NA,NA,2.01,2.045,93.759,0.742,35.584,33.59,0.551,NA,NA,NA,NA,46.721,97.344,57.007,89.902,20.725,77.949,0.29,9.931,70.543,28.842,4.009,41.211,4.119,13.986,70.955,0.079,2.656,NA,29.95,62.902,0.053,0.281,67.136,18.357,82.692,0.874,32.864,63.214,24.643,16.429,0.483,47.645,52.628,13.038,7.896,0.114,0.264,NA,NA,0.273,21.316,15.064,84.936,17.93,76.968,33.775,45.48,25.927,23.309,4.831,18.169,0.068,2.575,1.816,0.743,0.103,18.743,0.772,2.621,13.299,0.015,1.241,NA,0.372,0.781,0.001,0.189,0.035,0.156,0.002,0.092,0.058,0.023,0.015,0.23,0.254,0.063,0.009,0.021,NA,NA,0.022,1.683,0.254,1.43,0.256,1.1,0.372
Nme4,MFFZ,M01542469,Nme4:Hom,Hom,Female,2013-10-30,16.3,32.6,1.584,98.112,91.118,2.871,NA,NA,1.082,3.041,93.989,0.516,31.984,29.747,0.918,NA,NA,NA,NA,50.494,97.548,60.598,92.89,25.581,70.124,0.239,6.986,70.024,29.173,2.578,37.491,12.701,6.449,42.485,0.142,2.452,NA,40,41.542,0.925,0.275,42.796,58.853,41.646,0.748,57.204,40.858,32.836,66.791,0.378,71.351,29.037,19.876,3.105,0.077,0.701,NA,NA,1.658,36.182,14.17,85.83,37.125,59.22,57.143,49.256,29.848,27.726,7.093,19.442,0.066,2.085,1.46,0.608,0.054,18.466,2.345,1.191,7.845,0.026,1.238,NA,0.495,0.514,0.011,0.118,0.069,0.049,0.001,0.157,0.064,0.052,0.105,0.27,0.11,0.075,0.002,0.022,NA,NA,0.051,1.123,0.159,0.964,0.358,0.571,0.326
Nme4,MFFZ,M01542471,Nme4:Hom,Hom,Male,2013-10-30,16.3,33.939,1.167,98.537,89.388,4.292,NA,NA,1.473,3.384,93.68,0.396,33.443,30.384,1.435,NA,NA,NA,NA,48.604,97.756,50.488,92.032,21.581,76.965,0.235,7.853,70.402,28.943,4.632,47.264,9.124,15.898,58.964,0.155,2.244,NA,33.789,57.979,0.195,0.389,83.06,46.447,54.737,1.711,16.94,78.71,14.839,14.194,0.892,61.814,38.663,11.838,4.923,0.305,0.826,NA,NA,1.383,32.567,20.739,79.261,25.887,69.729,48.902,47.513,23.988,22.077,4.764,16.991,0.052,1.884,1.326,0.545,0.087,22.457,2.049,3.57,13.241,0.035,1.091,NA,0.369,0.632,0.002,0.323,0.15,0.177,0.006,0.066,0.052,0.01,0.009,0.551,0.345,0.106,0.015,0.041,NA,NA,0.068,1.603,0.333,1.271,0.329,0.886,0.433
Coq4,MCZX,M01542979,WT,WT,Female,2013-10-30,16.4,24.946,1.213,98.401,88.579,4.504,NA,NA,1.341,3.977,93.083,0.302,24.547,22.136,1.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,0.65,0.737,NA,NA,2.903,27.513,15.748,84.252,28.224,66.168,46.893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.023,NA,NA,0.091,0.858,0.135,0.723,0.204,0.478,0.224
Tmem254b,MFHM,M01543300,Tmem254b:Hom,Hom,Male,2013-10-23,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.059,97.293,52.525,91.426,24.56,72.358,0.24,8.466,64.829,34.559,3.648,45.449,9.552,10.982,48.561,0.297,2.707,NA,38.985,53.627,0.089,0.261,80.18,34.831,66.292,0.449,19.82,70,16.364,25.455,0.547,48.839,51.591,15.133,2.77,0.433,0.556,NA,NA,1.607,40.111,19.877,80.123,24.808,71.538,39.785,38.001,19.96,18.249,4.482,13.205,0.044,1.69,1.095,0.584,0.062,17.271,1.65,1.897,8.387,0.051,1.057,NA,0.412,0.567,0.001,0.209,0.073,0.139,0.001,0.052,0.036,0.008,0.013,0.267,0.282,0.083,0.012,0.015,NA,NA,0.045,1.111,0.221,0.89,0.221,0.637,0.253
Tmem254b,MFHM,M01543303,Tmem254b:Hom,Hom,Female,2013-10-23,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.079,97.818,47.747,92.789,27.171,70.985,0.37,7.084,76.294,23.356,5.157,50.269,8.043,13.535,51.928,0.206,2.182,NA,32.756,53.812,0.335,0.348,78.415,36.934,63.995,0.465,21.585,67.089,23.629,24.895,0.381,47.206,53.545,19.433,2.439,0.215,0.829,NA,NA,1.657,41.59,17.86,82.14,33.513,63.073,42.735,50.942,24.323,22.569,6.132,16.021,0.083,1.723,1.315,0.402,0.089,25.608,2.06,3.466,13.298,0.053,1.137,NA,0.372,0.612,0.004,0.273,0.101,0.175,0.001,0.075,0.05,0.018,0.019,0.18,0.204,0.074,0.005,0.02,NA,NA,0.04,1.014,0.181,0.833,0.279,0.526,0.225
Setd5,MEFW,M01543452,WT,WT,Male,2013-10-30,16.1,16.438,1.226,98.437,88.399,4.585,NA,NA,0.1,5.353,92.984,0.202,16.181,14.557,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.162,0.083,0.083,NA,NA,0.457,28.233,26.068,73.932,26.096,68.725,55.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.003,0.003,NA,NA,0.014,0.893,0.233,0.66,0.172,0.454,0.251
Setd5,MEFW,M01543454,WT,WT,Male,2013-10-30,16.1,31.849,1.454,98.277,89.549,3.065,NA,NA,1.077,4.586,92.614,0.463,31.3,28.569,0.959,NA,NA,NA,NA,52.773,97.952,53.452,91.89,16.07,82.212,0.21,7.994,65.622,33.479,2.996,44.8,5.308,9.661,65.336,0.174,2.048,NA,34.326,55.234,0.111,0.237,77.255,37.5,63.487,0.822,22.745,62.011,29.05,21.788,0.601,53.827,46.673,16.108,3.119,0.343,0.272,NA,NA,0.804,45.852,19.923,80.077,22.948,73.544,50.197,51.692,27.631,25.39,4.08,20.873,0.053,2.209,1.449,0.739,0.066,23.158,1.229,2.237,15.131,0.04,1.081,NA,0.371,0.597,0.001,0.183,0.069,0.116,0.002,0.054,0.033,0.016,0.012,0.324,0.281,0.097,0.011,0.008,NA,NA,0.025,1.43,0.285,1.145,0.263,0.842,0.423
Setd5,MEFW,M01543455,WT,WT,Female,2013-10-30,16.1,30.747,1.371,98.295,88.235,3.755,NA,NA,1.159,5.146,91.99,0.421,30.223,27.183,1.135,NA,NA,NA,NA,56.761,98.035,59.394,93.479,19.979,77.055,0.229,6.384,78.869,20.601,3.967,39.499,4.921,8.107,69.058,0.187,1.965,NA,30.583,53.549,0.223,0.152,48.229,59.322,40.113,0,51.771,72.632,20,17.368,0.421,67.389,33.103,22.759,3.346,0.14,1.354,NA,NA,2.614,37.806,24.506,75.494,36.304,59.853,44.399,55.646,33.051,30.895,6.173,23.806,0.071,2.11,1.664,0.435,0.084,21.979,1.082,1.782,15.179,0.041,1.115,NA,0.341,0.597,0.002,0.073,0.044,0.029,0,0.079,0.057,0.016,0.014,0.283,0.139,0.096,0.005,0.045,NA,NA,0.087,1.265,0.31,0.955,0.347,0.572,0.254
Setd5,MEFW,M01543456,WT,WT,Female,2013-10-30,16.1,36.465,1.263,98.392,89.747,4.54,NA,NA,1.504,2.601,94.287,0.46,35.878,32.776,1.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.04,0.191,0.762,NA,NA,1.83,35.799,18.956,81.044,31.143,65.177,40.121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0.023,NA,NA,0.056,1.088,0.206,0.882,0.275,0.575,0.231
Lyplal1,MFPU,M01543471,Lyplal1:Hom,Hom,Female,2013-10-23,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.982,97.341,51.296,91.95,30.757,66.032,0.426,7.867,85.665,14.038,4.268,46.699,8.588,13.926,53.952,0.256,2.659,NA,39.278,44.976,0.101,0.299,78.261,38.889,61.111,0.766,21.739,77.241,17.931,11.724,0.687,56.527,44.06,27.154,3.426,0,3.319,NA,NA,1.535,36.117,20.949,79.051,40.125,55.125,51.701,48.652,24.957,22.947,7.058,15.153,0.098,1.963,1.682,0.276,0.084,22.72,1.951,3.164,12.258,0.058,1.329,NA,0.522,0.598,0.001,0.234,0.091,0.143,0.002,0.065,0.05,0.012,0.008,0.388,0.303,0.186,0,0.114,NA,NA,0.053,1.237,0.259,0.978,0.392,0.539,0.279
Tceal5,MEGQ,M01543758,WT,WT,Male,2013-10-30,16.4,35.695,1.221,98.55,90.378,3.294,NA,NA,1.725,3.153,93.672,0.436,35.178,32.303,1.159,NA,NA,NA,NA,49.218,97.952,51.549,91.866,17.928,80.401,0.215,8.002,69.205,30.178,3.974,46.664,4.42,11.665,69.112,0.234,2.048,NA,27.761,62.5,0.119,0.248,72.343,24.374,75.626,1.169,27.657,72.926,20.524,12.664,0.61,47.743,52.797,12.218,3.039,0.207,0.259,NA,NA,0.892,37.183,24.939,75.061,23.679,72.011,47.233,48.21,24.852,22.83,4.093,18.356,0.049,1.989,1.376,0.6,0.079,22.497,0.994,2.624,15.548,0.053,1.008,NA,0.28,0.63,0.001,0.179,0.044,0.136,0.002,0.069,0.05,0.014,0.009,0.291,0.322,0.075,0.006,0.008,NA,NA,0.027,1.13,0.282,0.848,0.201,0.611,0.288
Exoc3l2,MUAU,M01544034,Exoc3l2(b):Het,Het,Male,2013-10-31,15.9,37.816,NA,95.026,90.049,2.182,NA,NA,1.035,1.76,92.231,NA,35.935,34.146,0.784,NA,NA,NA,NA,45.809,97.643,54.561,89.814,22.941,74.334,0.215,10.041,73.958,25.093,2.948,43.425,8.034,13.14,55.827,0.174,2.357,NA,40.129,48.334,0.084,0.231,67.582,41.586,59.381,0.58,32.418,66.129,23.387,20.161,0.395,53.787,46.748,17.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.729,24.404,21.919,5.028,16.293,0.047,2.45,1.812,0.615,0.072,19.424,1.56,2.552,10.844,0.034,1.079,NA,0.433,0.522,0.001,0.156,0.065,0.093,0.001,0.075,0.05,0.018,0.015,0.213,0.185,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exoc3l2,MUAU,M01544037,Exoc3l2(b):Het,Het,Female,2013-10-31,15.9,27.219,NA,96.182,90.489,3.382,NA,NA,1.075,1.236,93.871,NA,26.179,24.689,0.885,NA,NA,NA,NA,58.964,97.794,52.383,91.368,20.38,77.837,0.296,8.491,69.78,29.518,5.103,45.861,7.122,10.281,59.911,0.114,2.206,NA,30.995,56.381,0.069,0.289,77.386,57.239,43.968,1.206,22.614,63.761,25.229,25.229,0.452,58.87,42.259,22.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.663,30.206,27.598,5.624,21.482,0.082,2.565,1.79,0.757,0.131,26.445,1.883,2.719,15.843,0.03,1.301,NA,0.403,0.733,0.001,0.224,0.128,0.098,0.003,0.065,0.042,0.017,0.017,0.266,0.191,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomm20l,MUAR,M01544216,WT,WT,Male,2013-11-06,15.9,29.98,1.717,98.206,94.282,0.64,NA,NA,1.249,2.035,94.922,0.515,29.442,28.287,0.188,NA,NA,NA,NA,53.535,98.181,51.982,92.11,19.332,78.559,0.216,7.771,70.469,29.007,2.844,46.428,4.421,12.54,67.54,0.086,1.819,NA,28.923,63.492,0,0.313,76.591,22.676,77.465,0.141,23.409,70.507,19.816,12.903,0.569,41.197,59.632,11.5,2.621,0.164,0.945,NA,NA,0.637,34.045,31.966,68.034,22.429,74.468,29.048,52.561,27.322,25.166,4.865,19.77,0.054,2.123,1.496,0.616,0.06,24.403,1.079,3.06,16.482,0.021,0.974,NA,0.282,0.618,0,0.239,0.054,0.186,0,0.073,0.052,0.015,0.009,0.234,0.339,0.065,0.004,0.025,NA,NA,0.017,0.892,0.285,0.607,0.136,0.452,0.131
Dnmt3a,MFCH,M01544228,Dnmt3a:Hom,Hom,Male,2013-10-30,16.4,29.893,1.28,98.434,89.366,4.473,NA,NA,1.677,2.918,93.839,0.383,29.425,26.757,1.316,NA,NA,NA,NA,52.823,98.002,50.088,92.026,14.702,84.261,0.173,7.864,55.804,43.377,3.114,48.278,5.621,12.141,68.299,0.077,1.998,NA,27.375,65.746,0.086,0.261,67.055,35.069,64.931,1.042,32.945,69.611,25.442,26.855,0.431,54.795,45.98,11.354,2.876,0.311,0.4,NA,NA,1.051,37.241,16.017,83.983,22.575,73.781,45.863,51.768,25.929,23.862,3.508,20.106,0.041,2.039,1.138,0.884,0.064,24.992,1.405,3.034,17.07,0.019,1.056,NA,0.289,0.694,0.001,0.175,0.061,0.114,0.002,0.086,0.06,0.022,0.023,0.236,0.198,0.049,0.009,0.011,NA,NA,0.03,1.071,0.172,0.9,0.203,0.664,0.304
