Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Ccdc159,MEZZ,M01666652,Ccdc159:Hom,Hom,Male,2014-03-05,15.9,10.36,22.904,NA,NA,14.292,7.803,39.138,2.114,4.674,NA,NA,2.917,1.592,7.987,20.407,40.884,35.649,NA,2.176,0.838
N6amt2,MFTF,M01664075,N6amt2:Hom,Hom,Female,2014-03-05,16,12.131,14.76,NA,NA,15.626,8.559,43.651,2.663,3.24,NA,NA,3.43,1.879,9.58,21.948,42.879,31.478,NA,3.051,0.602
Ccdc159,MEZZ,M01666650,Ccdc159:Hom,Hom,Male,2014-03-05,15.9,11.413,27.543,NA,NA,13.534,7.608,34.381,1.912,4.613,NA,NA,2.267,1.274,5.759,16.749,43.104,37.579,NA,1.837,0.678
Slitrk4,MUAB,M01662805,Slitrk4(b):Hom,Hom,Female,2014-03-05,16.1,13.46,16.248,NA,NA,21.081,9.096,36.571,2.499,3.017,NA,NA,3.914,1.689,6.79,18.568,36.162,41.545,NA,2.923,0.713
Dlg4,MEEV,M01663336,Dlg4:Hom,Hom,Female,2014-03-05,15.6,21.266,17.311,NA,NA,32.341,16.6,11.331,2.777,2.261,NA,NA,4.223,2.168,1.48,13.059,46.792,38.028,NA,1.497,0.573
Slitrk4,MUAB,M01662807,Slitrk4(b):Hom,Hom,Female,2014-03-05,16.1,17.416,11.063,NA,NA,15.295,6.227,44.857,2.719,1.727,NA,NA,2.388,0.972,7.002,15.61,49.935,31.342,NA,2.577,0.484
Fdft1,MFXN,M01666974,WT,WT,Female,2014-03-05,15.9,10.129,19.647,NA,NA,13.11,9.061,42.58,2.065,4.006,NA,NA,2.673,1.848,8.683,20.392,41.306,34.574,NA,2.653,1.031
Trem1,MFZX,M01664085,Trem1(Vlcg):Hom,Hom,Female,2014-03-05,16,11.896,13.638,NA,NA,21.701,11.727,37.481,2.863,3.282,NA,NA,5.223,2.822,9.021,24.068,31.883,39.539,NA,3.618,0.805
Gm16515,MUBX,M01654467,Gm16515(b):Hom,Hom,Female,2014-03-05,16.7,15.269,13.046,NA,NA,20.021,8.87,39.165,2.592,2.215,NA,NA,3.399,1.506,6.649,16.977,42.406,36.787,NA,3.091,0.676
Art4,MFCP,M01586363,Art4:Hom,Hom,Male,2013-12-23,16,7.398,25.777,NA,NA,30.56,12.732,22.536,0.765,2.664,NA,NA,3.158,1.316,2.329,10.335,55.586,29.794,NA,2.381,1.888
Zkscan17,MUBB,M01595467,WT,WT,Female,2013-12-23,15.4,11.293,15.208,NA,NA,33.836,12.516,25.876,1.738,2.34,NA,NA,5.206,1.926,3.981,15.386,49.821,26.817,NA,4.035,3.933
Zkscan17,MUBB,M01595469,WT,WT,Female,2013-12-23,15.4,12.259,14.066,NA,NA,34.823,13.01,24.572,1.971,2.261,NA,NA,5.598,2.091,3.95,16.075,50.021,27.675,NA,4.503,1.72
Zkscan17,MUBB,M01595468,WT,WT,Female,2013-12-23,15.4,7.419,17.99,NA,NA,36.617,16.406,20.815,1.471,3.566,NA,NA,7.259,3.252,4.126,19.824,46.802,24.39,NA,2.919,6.056
Polr3f,MFVN,M01592940,WT,WT,Male,2013-12-23,15.3,8.9,17.076,NA,NA,30.877,12.475,29.606,0.946,1.815,NA,NA,3.281,1.326,3.146,10.627,57.85,25.256,NA,2.757,3.497
Polr3f,MFVN,M01591238,WT,WT,Male,2013-12-23,15.4,6.415,19.052,NA,NA,35.716,14.486,23.336,1.044,3.101,NA,NA,5.813,2.358,3.798,16.275,52.725,23.801,NA,2.18,5.005
Zfp719,MUAW,M01600622,Zfp719(b):Hom,Hom,Female,2013-12-23,15.1,1.374,0.975,NA,NA,35.405,8.692,44.876,0.148,0.105,NA,NA,3.825,0.939,4.848,10.803,65.962,21.679,NA,1.349,0.207
Tmem126a,MEJS,M01594633,Tmem126a:Hom,Hom,Female,2013-12-23,15.7,6.527,13.369,NA,NA,37.026,16.509,25.22,1.784,3.653,NA,NA,10.118,4.511,6.892,27.327,41.787,24.264,NA,4.03,2.587
Tmem126a,MEJS,M01594634,Tmem126a:Hom,Hom,Female,2013-12-23,15.7,9.219,19.576,NA,NA,35.523,15.88,19.252,1.775,3.768,NA,NA,6.838,3.057,3.706,19.249,47.758,22.536,NA,4.293,6.147
Tmc3,MUBQ,M01586685,Tmc3(b):Hom,Hom,Female,2013-12-23,16,8.006,16.166,NA,NA,39.712,15.176,20.161,1.351,2.727,NA,NA,6.699,2.56,3.401,16.869,50.191,27.673,NA,3.121,2.103
Zfp719,MUAW,M01600626,Zfp719(b):Hom,Hom,Female,2013-12-23,15.3,8.715,9.573,NA,NA,35.474,13.804,30.945,1.704,1.872,NA,NA,6.936,2.699,6.051,19.553,47.701,26.506,NA,4.163,2.073
Hecw2,MFHN,M01595602,Hecw2:Het,Het,Female,2013-12-23,15.3,6.059,14.043,NA,NA,48.747,19.248,11.882,1.4,3.245,NA,NA,11.266,4.448,2.746,23.111,47.852,22.025,NA,2.602,4.401
Polr3f,MFVN,M01588684,Polr3f:Het,Het,Female,2013-12-23,16,12.626,21.268,NA,NA,36.724,12.982,15.769,4.963,8.359,NA,NA,14.434,5.103,6.198,39.305,27.071,22.873,NA,4.914,5.831
Polr3f,MFVN,M01588680,Polr3f:Het,Het,Female,2013-12-23,16,9.604,16.128,NA,NA,34.029,12.381,27.06,1.817,3.051,NA,NA,6.438,2.342,5.119,18.918,48.955,24.853,NA,3.474,3.79
Bai1,MEMT,M01595610,Bai1:Hom,Hom,Male,2013-12-23,15.7,9.05,15.471,NA,NA,32.322,15.324,27.243,1.268,2.167,NA,NA,4.528,2.147,3.817,14.009,53.848,26.528,NA,2.46,3.145
Rbm47,MFRM,M01598780,Rbm47:Hom,Hom,Female,2013-12-23,15.6,13.165,14.94,NA,NA,34.733,13.15,22.992,2.051,2.328,NA,NA,5.412,2.049,3.583,15.582,50.49,26.183,NA,4.801,2.938
Rbm47,MFRM,M01598776,Rbm47:Hom,Hom,Male,2013-12-23,15.6,10.322,14.404,NA,NA,34.625,15.381,24.323,1.57,2.19,NA,NA,5.266,2.339,3.699,15.208,54.255,26.477,NA,2.172,1.885
Evi5,MFZM,M01596449,WT,WT,Male,2014-01-02,16.6,19.591,15.298,NA,NA,16.394,9.642,33.785,2.51,1.96,NA,NA,2.1,1.235,4.328,12.811,40.194,43.722,NA,1.847,1.394
Cpsf3,MUAO,M01596371,Cpsf3(b):Het,Het,Male,2014-01-02,16,11.003,14.045,NA,NA,15.272,9.482,40.179,2.014,2.57,NA,NA,2.795,1.735,7.353,18.3,37.42,37.886,NA,2.547,3.775
Zranb1,MFPS,M01603622,Zranb1:Hom,Hom,Male,2014-01-02,16.4,13.494,16.082,NA,NA,10.679,5.847,45.041,2.075,2.473,NA,NA,1.642,0.899,6.927,15.379,36.809,42.551,NA,3.212,1.883
Usp11,MFVM,M01594250,Usp11:Hemi,Hom,Male,2014-01-02,16.3,10.202,18.736,NA,NA,22.989,7.621,37.245,2.057,3.778,NA,NA,4.635,1.537,7.51,20.163,32.476,42.758,NA,2.723,1.802
Polr3f,MFVN,M01592942,Polr3f:Het,Het,Male,2014-01-02,16.7,8.621,17.835,NA,NA,20.156,8.52,35.319,1.69,3.496,NA,NA,3.951,1.67,6.924,19.605,36.856,38.609,NA,2.191,2.699
Zranb1,MFPS,M01603621,Zranb1:Hom,Hom,Male,2014-01-02,16.4,13.789,18.029,NA,NA,15.728,6.895,37.979,2.112,2.762,NA,NA,2.409,1.056,5.818,15.319,39.032,41.681,NA,2.159,1.752
Cyp2r1,MUBS,M01603218,Cyp2r1(b):Hom,Hom,Female,2014-01-02,16.4,15.614,8.694,NA,NA,9.716,7.062,54.037,2.717,1.513,NA,NA,1.69,1.229,9.402,17.4,32.895,43.345,NA,3.71,2.594
Usp11,MFVM,M01594252,Usp11:Hemi,Hom,Male,2014-01-02,16.3,10.57,18.444,NA,NA,13.66,6.821,43.81,2.068,3.609,NA,NA,2.673,1.334,8.572,19.566,34.717,38.765,NA,4.382,2.496
Cyp2r1,MUBS,M01603222,Cyp2r1(b):Hom,Hom,Female,2014-01-02,16.4,13.866,14.042,NA,NA,12.859,7.597,45.656,2.876,2.913,NA,NA,2.668,1.576,9.471,20.744,32.036,39.36,NA,5.03,2.791
Cyp2r1,MUBS,M01603202,Cyp2r1(b):Hom,Hom,Male,2014-01-02,16.6,10.454,19.804,NA,NA,22.434,7.773,36.28,2.214,4.195,NA,NA,4.752,1.646,7.685,21.182,31.508,42.401,NA,2.748,2.075
Armc7,MUCC,M01604734,WT,WT,Female,2014-01-02,16.3,18.136,6.058,NA,NA,6.14,3.64,61.535,4.047,1.352,NA,NA,1.37,0.812,13.73,22.312,25.869,41.515,NA,6.81,3.423
Armc7,MUCC,M01604735,WT,WT,Female,2014-01-02,16.3,10.486,10.093,NA,NA,9.954,5.417,56.826,2.512,2.418,NA,NA,2.385,1.298,13.614,23.957,29.614,37.834,NA,5.67,2.865
Polr3f,MFVN,M01592954,Polr3f:Het,Het,Male,2014-01-02,16.6,11.917,21.125,NA,NA,22.014,6.937,33.966,2.317,4.107,NA,NA,4.28,1.349,6.603,19.441,32.893,41.838,NA,2.624,2.96
4933402N03Rik,MFAX,M01606903,4933402N03Rik:Hom,Hom,Male,2014-01-02,16,11.766,10.279,NA,NA,10.008,3.888,55.955,1.769,1.546,NA,NA,1.505,0.585,8.414,15.037,38.254,42.234,NA,3.177,1.261
Vps33b,MEXC,M01592968,Vps33b:Het,Het,Female,2014-01-02,16.6,17.997,14.326,NA,NA,12.117,5.759,44.453,3.504,2.789,NA,NA,2.359,1.121,8.656,19.471,32.522,40.428,NA,4.888,2.654
Cpsf3,MUAO,M01605433,Cpsf3(b):Het,Het,Male,2014-01-02,15.7,8.822,19.269,NA,NA,22.292,8.002,38.473,2.455,5.363,NA,NA,6.204,2.227,10.707,27.83,33.14,34.159,NA,2.801,2.01
Vps33b,MEXC,M01592967,Vps33b:Het,Het,Female,2014-01-02,16.6,15.287,16.938,NA,NA,20.021,5.834,34.132,3.026,3.353,NA,NA,3.964,1.155,6.757,19.797,32.671,41.731,NA,2.982,2.788
Armc7,MUCC,M01604736,WT,WT,Female,2014-01-02,16.3,16.27,12.652,NA,NA,14.226,3.948,48.803,3.756,2.921,NA,NA,3.285,0.912,11.268,23.088,28.806,40.846,NA,4.376,2.826
Adap1,MFPC,M01594237,WT,WT,Male,2014-01-02,16.3,13.805,20.58,NA,NA,17.43,5.914,36.581,2.05,3.056,NA,NA,2.588,0.878,5.432,14.85,36.263,44.622,NA,2.445,1.761
Adap1,MFPC,M01594234,WT,WT,Male,2014-01-02,16.3,22.72,19.179,NA,NA,10.057,4.136,38.837,1.915,1.617,NA,NA,0.848,0.349,3.274,8.43,43.704,44.085,NA,2.275,1.468
Dennd1c,MUAT,M01597176,Dennd1c(b):Hom,Hom,Female,2014-01-02,16.6,18.662,9.294,NA,NA,18.947,4.037,40.337,3.647,1.816,NA,NA,3.703,0.789,7.883,19.543,32.728,41.854,NA,4.225,1.612
Smpd4,MUBD,M01606622,Smpd4(b):Het,Het,Female,2014-01-02,15.9,16.373,12.104,NA,NA,23.128,8.637,37.415,3.237,2.393,NA,NA,4.572,1.707,7.397,19.769,33.918,41.332,NA,3.2,1.727
Dennd1c,MUAT,M01597173,Dennd1c(b):Hom,Hom,Male,2014-01-02,16.6,7.861,19.22,NA,NA,23.089,8.634,37.613,1.878,4.592,NA,NA,5.516,2.063,8.986,23.89,30.318,40.031,NA,3.439,2.243
Dennd1c,MUAT,M01597172,Dennd1c(b):Hom,Hom,Male,2014-01-02,16.6,10.425,15.428,NA,NA,18.228,6.968,44.587,2.194,3.247,NA,NA,3.836,1.466,9.382,21.042,33.423,40.659,NA,2.964,1.842
Dennd1c,MUAT,M01597175,Dennd1c(b):Hom,Hom,Female,2014-01-02,16.6,12.035,15.213,NA,NA,17.884,7.6,43.641,3.259,4.12,NA,NA,4.843,2.058,11.818,27.079,25.729,40.556,NA,3.803,2.766
Agap1,MDVW,M01672929,Agap1:Hom,Hom,Male,2014-03-10,15.6,5.868,21.203,NA,NA,31.014,11.396,28.987,0.843,3.047,NA,NA,4.456,1.637,4.165,14.369,52.531,30.342,NA,1.893,0.859
Agap1,MDVW,M01672931,Agap1:Hom,Hom,Male,2014-03-10,15.6,4.644,22.126,NA,NA,28.035,10.002,33.35,0.733,3.49,NA,NA,4.423,1.578,5.262,15.778,52.076,27.933,NA,2.384,1.826
Agap1,MDVW,M01672933,Agap1:Hom,Hom,Female,2014-03-10,15.6,7.554,15.737,NA,NA,31.189,11.028,32.568,1.259,2.622,NA,NA,5.196,1.837,5.426,16.66,43.891,35.126,NA,3.341,0.976
Fbxw26,MUBR,M01664205,Fbxw26(b):Hom,Hom,Female,2014-03-10,16,8.661,23.884,NA,NA,22.862,10.118,32.213,1.026,2.83,NA,NA,2.709,1.199,3.817,11.849,49.455,33.946,NA,2.821,1.925
Agap1,MDVW,M01672934,Agap1:Hom,Hom,Female,2014-03-10,15.6,5.565,12.962,NA,NA,32.173,12.727,34.975,1.09,2.538,NA,NA,6.3,2.492,6.849,19.581,48.173,27.427,NA,3.537,1.278
Fbxw26,MUBR,M01664206,Fbxw26(b):Hom,Hom,Female,2014-03-10,16,8.157,16.769,NA,NA,34.907,12.13,26.555,1.605,3.3,NA,NA,6.869,2.387,5.226,19.679,42.695,33.74,NA,2.755,1.126
Setd5,MEFW,M01670125,WT,WT,Female,2014-03-10,15.7,7.037,15.528,NA,NA,40.31,15.849,20.132,1.175,2.592,NA,NA,6.73,2.646,3.361,16.695,44.348,34.729,NA,2.882,1.341
Setd5,MEFW,M01670126,WT,WT,Female,2014-03-10,15.7,5.817,14.993,NA,NA,35.352,14.519,28.132,0.956,2.463,NA,NA,5.809,2.386,4.622,16.432,42.049,36.523,NA,3.588,1.405
Setd5,MEFW,M01666025,WT,WT,Male,2014-03-10,15.9,4.644,24.344,NA,NA,33.876,11.496,24.033,0.826,4.328,NA,NA,6.023,2.044,4.273,17.78,44.371,34.415,NA,2.281,1.145
Alox12e,MUCA,M01660102,Alox12e(b):Hom,Hom,Male,2014-03-10,16,7.083,28.592,NA,NA,27.237,9.539,25.61,0.885,3.571,NA,NA,3.401,1.191,3.198,12.488,53.646,30.39,NA,1.871,1.603
Setd5,MEFW,M01666027,WT,WT,Male,2014-03-10,15.9,5.347,22.313,NA,NA,30.33,12.318,27.858,0.836,3.487,NA,NA,4.74,1.925,4.354,15.628,48.52,31.648,NA,2.426,1.773
Alox12e,MUCA,M01660100,Alox12e(b):Hom,Hom,Male,2014-03-10,16,6.559,19.272,NA,NA,35.523,11.33,24.99,1.095,3.217,NA,NA,5.931,1.892,4.172,16.695,50.666,29.69,NA,1.869,1.059
Setd5,MEFW,M01666055,WT,WT,Female,2014-03-10,16,7.906,18.616,NA,NA,37.419,13.733,21.298,1.157,2.725,NA,NA,5.478,2.01,3.118,14.639,44.145,36.82,NA,3.023,1.369
Setd5,MEFW,M01666050,WT,WT,Male,2014-03-10,16,7.36,20.031,NA,NA,32.521,11.441,26.788,0.85,2.314,NA,NA,3.757,1.322,3.094,11.552,50.85,34.361,NA,2.282,0.95
Slitrk4,MUAB,M01662809,Slitrk4(b):Hemi,Hom,Male,2014-03-10,16.1,4.89,22.582,NA,NA,36.232,12.52,22.355,0.88,4.065,NA,NA,6.522,2.254,4.024,18.001,48.66,30.331,NA,1.888,1.115
Slitrk4,MUAB,M01662810,Slitrk4(b):Hemi,Hom,Male,2014-03-10,16.1,5.583,22.225,NA,NA,38.397,11.116,21.202,0.985,3.92,NA,NA,6.773,1.961,3.74,17.639,49.103,30.423,NA,1.911,0.914
Defb22,MFXV,M01667298,Defb22:Hom,Hom,Male,2014-03-12,15.6,6.771,28.631,NA,NA,29.233,15.742,18.863,1.129,4.775,NA,NA,4.875,2.625,3.146,16.677,49.847,30.148,NA,2.081,1.243
Col4a3bp,MFGR,M01669689,Col4a3bp:Het,Het,Female,2014-03-12,15.6,12.349,22.879,NA,NA,31.365,14.265,16.703,2.334,4.323,NA,NA,5.927,2.696,3.156,18.898,40.523,35.397,NA,3.732,1.435
Defb22,MFXV,M01667301,Defb22:Hom,Hom,Female,2014-03-12,15.6,13.366,18.911,NA,NA,28.885,14.709,20.933,2.203,3.117,NA,NA,4.762,2.425,3.451,16.486,42.944,35.316,NA,3.991,1.244
Xxylt1,MFVL,M01666338,Xxylt1:Hom,Hom,Female,2014-03-12,15.7,8.943,25.972,NA,NA,32.307,17.337,13.536,1.392,4.041,NA,NA,5.027,2.698,2.106,15.561,47.565,33.42,NA,2.091,1.356
1700011A15Rik,MFUU,M01665795,1700011A15Rik:Hom,Hom,Male,2014-03-12,16,14.586,22.177,NA,NA,26.952,13.249,21.269,2.163,3.288,NA,NA,3.996,1.964,3.154,14.827,50.254,31.57,NA,2.301,1.029
1700011A15Rik,MFUU,M01665794,1700011A15Rik:Hom,Hom,Male,2014-03-12,16,8.386,31.326,NA,NA,28.115,13.334,17.698,1.447,5.406,NA,NA,4.852,2.301,3.054,17.258,45.834,33.326,NA,2.233,1.327
Gtf2a1,MDEG,M01666258,Gtf2a1:Het,Het,Male,2014-03-12,15.7,7.799,29.257,NA,NA,30.137,14.749,17.25,1.706,6.399,NA,NA,6.592,3.226,3.773,21.872,41.615,33.061,NA,2.208,1.231
Klf17,MUBV,M01660406,Klf17(b):Hom,Hom,Female,2014-03-12,16.1,13.753,22.456,NA,NA,29.976,14.382,16.184,2.35,3.837,NA,NA,5.122,2.457,2.765,17.087,41.374,37.317,NA,3.106,1.097
Col4a3bp,MFGR,M01669685,Col4a3bp:Het,Het,Male,2014-03-12,15.6,13.264,19.969,NA,NA,30.708,15.711,18.71,2.396,3.606,NA,NA,5.546,2.838,3.379,18.062,47.12,31.237,NA,2.539,1.027
Klf17,MUBV,M01660405,Klf17(b):Hom,Hom,Female,2014-03-12,16.1,13.866,21.861,NA,NA,28.291,13.082,19.485,1.961,3.092,NA,NA,4.002,1.85,2.756,14.145,46.112,34.965,NA,3.582,1.183
Trem1,MFZX,M01663941,Trem1(Vlcg):Hom,Hom,Male,2014-03-12,15.7,7.943,28.586,NA,NA,29.882,15.8,16.681,1.224,4.405,NA,NA,4.605,2.435,2.571,15.41,49.366,32.14,NA,1.948,1.128
Xxylt1,MFVL,M01666286,Xxylt1:Hom,Hom,Female,2014-03-12,16,9.531,26.043,NA,NA,28.989,14.515,19.335,1.507,4.118,NA,NA,4.583,2.295,3.057,15.811,48.047,31.8,NA,2.928,1.41
Defb22,MFXV,M01667131,Defb22:Hom,Hom,Male,2014-03-12,16,14.278,20.996,NA,NA,29.841,15.285,17.541,2.288,3.365,NA,NA,4.783,2.45,2.811,16.027,46.9,33.619,NA,2.28,0.898
Mybphl,MUAF,M01659576,Mybphl(b):Het,Het,Female,2014-03-12,16.1,11.766,18.725,NA,NA,30.421,14.426,22.348,2.088,3.323,NA,NA,5.399,2.56,3.966,17.747,43.556,34.134,NA,3.346,1.201
Mybphl,MUAF,M01659577,Mybphl(b):Het,Het,Female,2014-03-12,16.1,7.497,26.332,NA,NA,33.902,15.763,15.735,1.562,5.487,NA,NA,7.065,3.285,3.279,20.839,41.759,33.233,NA,2.979,1.182
Trem1,MFZX,M01663946,Trem1(Vlcg):Hom,Hom,Female,2014-03-12,15.7,9.443,21.087,NA,NA,31.296,14.949,21.303,1.738,3.881,NA,NA,5.76,2.752,3.921,18.407,43.121,33.453,NA,3.658,1.342
Trem1,MFZX,M01663947,Trem1(Vlcg):Hom,Hom,Female,2014-03-12,15.7,7.722,21.902,NA,NA,29.309,15.273,24.072,1.258,3.57,NA,NA,4.777,2.489,3.923,16.297,43.139,34.735,NA,4.116,1.704
Wnt16,MUBC,M01669601,Wnt16(b):Het,Het,Male,2014-03-17,16.1,7.423,20.557,NA,NA,33.002,13.636,24.605,1.468,4.066,NA,NA,6.528,2.697,4.867,19.779,36.989,39.272,NA,2.281,1.677
Slc20a2,MEQX,M01670606,WT,WT,Male,2014-03-17,16.1,7.082,29.225,NA,NA,29.752,11.631,21.664,1.579,6.514,NA,NA,6.632,2.593,4.829,22.29,31.289,42.203,NA,2.377,1.839
Slc20a2,MEQX,M01670678,WT,WT,Female,2014-03-17,16.1,8.364,14.908,NA,NA,37.141,15.985,22.907,2.553,4.55,NA,NA,11.337,4.879,6.992,30.524,25.098,39.56,NA,2.972,1.843
Mettl24,MFUB,M01663694,Mettl24:Hom,Hom,Male,2014-03-17,16.1,12.587,19.925,NA,NA,26.758,11.044,28.253,2.987,4.728,NA,NA,6.349,2.621,6.704,23.729,30.907,38.843,NA,4.346,2.17
1700123O20Rik,MGBX,M01666117,WT,WT,Female,2014-03-17,15.9,11.18,19.05,NA,NA,31.724,11.54,25.184,2.112,3.6,NA,NA,5.994,2.181,4.758,18.895,34.007,42.924,NA,2.612,1.55
Ankrd6,MUBA,M01671131,Ankrd6(.1):Hom,Hom,Female,2014-03-17,15.9,11.105,16.27,NA,NA,32.983,14.61,24.315,2.304,3.375,NA,NA,6.842,3.031,5.044,20.744,29.516,44.145,NA,3.572,2.02
Tcp11,MFMT,M01667093,WT,WT,Male,2014-03-17,15.6,6.142,20.78,NA,NA,35.306,15.248,22.104,1.534,5.19,NA,NA,8.818,3.808,5.521,24.975,32.321,39.25,NA,2.189,1.263
Mettl24,MFUB,M01663709,Mettl24:Hom,Hom,Female,2014-03-17,15.9,10.575,18.173,NA,NA,34.923,14.52,21.368,2.132,3.663,NA,NA,7.041,2.928,4.308,20.162,34.188,41.108,NA,2.738,1.799
Ankrd6,MUBA,M01671127,Ankrd6(.1):Hom,Hom,Male,2014-03-17,15.9,7.318,25.533,NA,NA,32.716,13.944,19.921,1.869,6.52,NA,NA,8.354,3.56,5.087,25.535,31.468,39.161,NA,2.382,1.452
Tcp11,MFMT,M01667092,WT,WT,Male,2014-03-17,15.6,9.864,18.401,NA,NA,33.985,15.152,22.08,2.195,4.094,NA,NA,7.561,3.371,4.912,22.247,37.641,36.098,NA,2.432,1.577
Col4a3bp,MFGR,M01669702,Col4a3bp:Het,Het,Male,2014-03-17,15.9,7.72,20.048,NA,NA,36.839,16.066,18.866,1.859,4.827,NA,NA,8.87,3.868,4.542,24.077,33.907,38.389,NA,2.294,1.33
Nup85,MFSY,M01677982,Nup85:Het,Het,Male,2014-03-19,15.7,10.286,19.19,NA,NA,33.963,14.394,21.35,3.412,6.365,NA,NA,11.264,4.774,7.081,33.165,43.398,18.479,NA,2.516,2.437
Aldh3b1,MUBT,M01669287,Aldh3b1(b):Hom,Hom,Male,2014-03-19,15.9,6.326,20.642,NA,NA,32.026,14.273,25.866,1.939,6.328,NA,NA,9.818,4.376,7.93,30.658,43.345,21.312,NA,2.237,2.445
Ell2,MUAK,M01670318,Ell2(b):Hom,Hom,Male,2014-03-19,15.6,7.566,18.166,NA,NA,27.949,14.519,30.328,1.933,4.642,NA,NA,7.142,3.71,7.75,25.553,45.235,22.616,NA,2.986,3.607
Aldh3b1,MUBT,M01669286,Aldh3b1(b):Hom,Hom,Male,2014-03-19,15.9,7.255,24.306,NA,NA,28.06,12.983,26.144,2.201,7.374,NA,NA,8.514,3.939,7.932,30.341,44.892,19.252,NA,2.4,3.112
Gsto2,MFYL,M01667448,Gsto2:Hom,Hom,Female,2014-03-19,15.6,16.744,10.722,NA,NA,25.568,12.35,33.176,3.894,2.494,NA,NA,5.946,2.872,7.715,23.255,50.258,17.255,NA,5.281,3.951
Pitrm1,MFXT,M01673687,Pitrm1:Het,Het,Female,2014-03-19,15.9,9.923,15.77,NA,NA,35.162,14.63,23.517,3.245,5.157,NA,NA,11.499,4.785,7.691,32.704,42.084,18.374,NA,3.545,3.29
Gtf2a1,MDEG,M01676583,Gtf2a1:Het,Het,Male,2014-03-19,16,5.853,26.033,NA,NA,32.053,13.479,22.069,1.996,8.879,NA,NA,10.932,4.597,7.527,34.106,42.714,17.397,NA,2.476,3.306
Aldh3b1,MUBT,M01669290,Aldh3b1(b):Hom,Hom,Female,2014-03-19,15.9,11.668,15.811,NA,NA,28.293,12.226,30.289,3.862,5.234,NA,NA,9.365,4.047,10.026,33.102,41.605,16.264,NA,5.198,3.826
Gsto2,MFYL,M01667444,Gsto2:Hom,Hom,Male,2014-03-19,15.6,12.486,21.638,NA,NA,25.828,10.59,27.939,3.057,5.298,NA,NA,6.324,2.593,6.841,24.486,45.376,24.835,NA,2.847,2.452
Nup85,MFSY,M01677987,Nup85:Het,Het,Female,2014-03-19,15.7,12.144,10.511,NA,NA,29.886,13.594,30.948,3.82,3.306,NA,NA,9.402,4.276,9.736,31.458,42.063,19.167,NA,4.69,2.619
Ankrd6,MUBA,M01681393,Ankrd6(.1):Hom,Hom,Female,2014-03-24,15.9,7.698,16.19,NA,NA,35.911,14.463,24.642,1.34,2.818,NA,NA,6.251,2.518,4.29,17.407,44.068,32.789,NA,3.165,2.544
Ankrd6,MUBA,M01681392,Ankrd6(.1):Hom,Hom,Female,2014-03-24,15.9,8.543,16.815,NA,NA,37.825,14.958,20.932,1.583,3.115,NA,NA,7.008,2.771,3.878,18.528,44.134,32.445,NA,2.836,2.048
Card9,MFVJ,M01678893,Card9:Hom,Hom,Male,2014-03-24,16,7.248,21.253,NA,NA,31.228,12.59,26.187,1.193,3.498,NA,NA,5.14,2.072,4.31,16.458,49.251,30.207,NA,2.151,1.901
Metrnl,MUCO,M01667461,Metrnl(b):Hom,Hom,Male,2014-03-24,16.1,9.219,13.466,NA,NA,30.848,11.501,33.727,0.815,1.19,NA,NA,2.726,1.016,2.981,8.838,55.341,32.305,NA,1.983,1.523
Izumo1r,MFVS,M01683442,Izumo1r:Hom,Hom,Male,2014-03-24,16,8.32,22.654,NA,NA,36.392,15.995,16.046,1.647,4.485,NA,NA,7.206,3.167,3.177,19.8,48.907,28.017,NA,1.834,1.431
Gtf2a1,MDEG,M01676573,Gtf2a1:Het,Het,Female,2014-03-24,16,7.435,15.62,NA,NA,38.746,17.352,20.136,1.537,3.228,NA,NA,8.008,3.586,4.162,20.668,43.134,31.178,NA,2.958,2.036
Gtf2a1,MDEG,M01676575,Gtf2a1:Het,Het,Female,2014-03-24,16,9.449,13.957,NA,NA,35.527,14.372,25.21,1.82,2.689,NA,NA,6.844,2.769,4.857,19.265,43.241,32.221,NA,3.149,2.09
Izumo1r,MFVS,M01683465,Izumo1r:Hom,Hom,Male,2014-03-24,16.3,8.879,24.294,NA,NA,29.556,12.565,23.702,1.435,3.926,NA,NA,4.776,2.03,3.83,16.16,49.722,29.985,NA,1.953,2.161
Cpt2,MUDF,M01682772,Cpt2(b):Het,Het,Female,2014-03-24,15.9,8.376,15.4,NA,NA,40.296,15.982,19.247,1.676,3.08,NA,NA,8.061,3.197,3.85,20.005,44.692,30.369,NA,2.6,2.307
Myo10,MFQX,M01677320,Myo10:Hom,Hom,Male,2014-03-24,16,14.809,10.516,NA,NA,21.81,8.183,41.44,0.79,0.562,NA,NA,1.164,0.437,2.211,5.336,62.653,29.313,NA,1.663,1.032
