Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Age_In_Weeks,HFA-_%_of_B220+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_B220+,HFB-_%_of_B220+,HFC-_%_of_B220+,HFD-_%_of_B220+,HFE-_%_of_B220+,HFF-_%_of_B220+,HFA-_%_of_CD45+,Pro-B_cells_(Hardy_fractions_B_and_C)_-_%_of_CD45+,HFB-_%_of_CD45+,HFC-_%_of_CD45+,HFD-_%_of_CD45+,HFE-_%_of_CD45+,HFF-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+,Granulocyte_precursors_-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,NK_cell_precursors_-_%_of_CD45+
Adamts3,MUCB,M02083993,WT,WT,Female,2015-06-29,15.7,16.124,36.695,17.376,19.319,19.723,8.671,16.776,5.087,11.576,5.482,6.095,6.222,2.735,5.292,31.548,41.862,22.231,0.431,3.911,NA
Adamts3,MUCB,M02083992,WT,WT,Female,2015-06-29,15.7,13.725,32.16,9.972,22.189,24.545,8.784,20.016,3.439,8.059,2.499,5.56,6.151,2.201,5.016,25.058,49.409,21.137,0.257,4.118,NA
Slx4ip,MFAM,M02077687,Slx4ip:Hom,Hom,Male,2015-06-29,16.1,9.401,38.62,24.228,14.393,21.957,10.017,18.679,1.945,7.989,5.012,2.977,4.542,2.072,3.864,20.687,52.823,24.171,0.135,2.138,NA
Dact3,MUHK,M02079670,Dact3(b):Hom,Hom,Male,2015-06-29,16,9.638,35.097,20.769,14.328,26.923,11.522,15.137,2.274,8.28,4.899,3.38,6.351,2.718,3.571,23.591,50.408,22.879,0.185,2.898,NA
Gm7489,MHAP,M02082729,WT,WT,Male,2015-06-29,16.1,10.652,37.528,24.457,13.071,23.866,8.915,18.032,2.183,7.689,5.011,2.678,4.89,1.827,3.695,20.488,53.672,23.298,0.126,2.262,NA
Adamts3,MUCB,M02083982,WT,WT,Male,2015-06-29,15.7,9.903,33.124,21.472,11.652,30.21,11.405,14.802,2.154,7.205,4.671,2.535,6.571,2.481,3.22,21.752,52.35,23.416,0.163,2.268,NA
Dact3,MUHK,M02079669,Dact3(b):Hom,Hom,Male,2015-06-29,16,17.573,26.017,14.973,11.044,16.223,7.081,29.661,1.869,2.766,1.592,1.174,1.725,0.753,3.154,10.633,63.139,22.775,0.218,3.21,NA
Gmds,MGCX,M02089197,Gmds:Hom,Hom,Female,2015-07-06,16.1,10.694,23.798,8.266,15.533,36.331,13.454,14.414,2.488,5.537,1.923,3.614,8.452,3.13,3.353,23.265,46.324,27.209,0.253,2.855,NA
Csnk1g3,MEYH,M02083276,Csnk1g3:Hom,Hom,Female,2015-07-06,16,9.388,17.95,6.293,11.658,38.733,14.814,15.357,2.648,5.063,1.775,3.288,10.926,4.179,4.332,28.207,39.774,28.661,0.245,3.025,NA
Tuft1,MGQB,M02081377,Tuft1:Hom,Hom,Male,2015-07-06,16.1,9.529,20.513,14.234,6.28,32.959,13.836,19.524,1.567,3.373,2.341,1.033,5.42,2.275,3.211,16.445,57.898,23.366,0.155,2.08,NA
