Gene_Name,Colony_Prefix,Mouse,Genotype,zygosity,Sex,Assay_Date,Granulocyte_precursors_-_%_of_CD45+,HFA-_%_of_B220+,HFA-_%_of_CD45+,HFB-_%_of_B220+,HFB-_%_of_CD45+,HFC-_%_of_B220+,HFC-_%_of_CD45+,HFD-_%_of_B220+,HFD-_%_of_CD45+,HFE-_%_of_B220+,HFE-_%_of_CD45+,HFF-_%_of_B220+,HFF-_%_of_CD45+,Myeloid_precursors_-_%_of_CD45+,Plasma_cells_-_%_of_CD45+,T_cells_-_%_of_CD45+,Total_B_cell_precursors_-_%_of_CD45+
4930590J08Rik,MGRE,M02240161,WT,WT,Female,2016-01-06,38.205661489818,8.036152328205576,2.387894337862266,15.363649248280147,4.565215982791352,10.61674825289186,3.154702898128171,38.85721138645705,11.546186690509973,12.377484382325044,3.677895050569842,12.765609498162947,3.7932240946994,29.745498603741066,0.12958319565118795,2.2048580740049633,29.714398636784782
Klk5,MGYV,M02240402,Klk5:Hom,Hom,Male,2016-01-06,50.73985186812193,7.240053119017643,1.3559913304413271,16.1599089388269,3.026593322114158,7.448734974044116,1.395075406425939,32.30602073021403,6.050602573088836,11.018746874083783,2.0637038137659927,20.67502543849059,3.872230602508487,28.093375410625054,0.07526107193731042,2.362487039268191,18.729024610047514
1700024P04Rik,MUHJ,M02240573,1700024P04Rik(b):Hom,Hom,Male,2016-01-06,52.28519550631621,8.568854078220035,1.6004945511980242,14.83130880798489,2.7701987590907766,6.855083262576028,1.2803956409584194,33.37607652185967,6.233999100227532,11.50600426276664,2.1490968291111994,19.118335095045833,3.570931523431305,26.837817631009138,0.09386115669310963,2.1050791832137414,18.678046522767804
1700024P04Rik,MUHJ,M02240576,1700024P04Rik(b):Hom,Hom,Male,2016-01-06,49.601293554345425,6.461017325633052,1.3909893538803642,16.939693469569082,3.646938568123808,8.637827632163484,1.8596338117412174,34.660984007107956,7.46214679809434,12.404209240337629,2.670496320782349,16.93414038205242,3.6457430465476324,26.599458428725992,0.07322569654075832,2.1970697766167935,21.528952543771034
Cenpl,PMBQ,M02240948,Cenpl(b):Het,Het,Female,2016-01-06,43.009452257700005,11.36157653784481,2.9862415441232613,12.037833190025795,3.163986745460931,9.88008644930399,2.5968512834608397,39.90611419674188,10.488799303678592,8.900560061351118,2.3393956052346265,15.193697566870396,3.9934643517033916,27.462855223174067,0.14934261761876405,3.0946600088567195,26.283689892650447
Fam92a,MUGO,M02241220,Fam92a(b):Hom,Hom,Male,2016-01-06,52.14293379117932,9.496786235756325,1.9342970582373953,13.902729065374137,2.8316956141830056,8.133006186684328,1.656523538699738,33.819035720199295,6.888231416614291,11.730615808408471,2.3892814986279953,18.45016783827315,3.7579139392638696,24.792666288534946,0.10822743090153757,2.5882605429767143,20.367911946407492
Bhlhe40,PMBL,M02243090,WT,WT,Male,2016-01-06,46.744689347778476,7.410114669468683,1.5671093820449071,15.98976654940838,3.3815553866567045,7.8106202506586255,1.6518092931583084,33.77038695235049,7.141844976618959,11.955776874229066,2.5284372705373133,18.274018913609574,3.8646347276076622,29.603746119262624,0.08276759374959744,2.4205495510582655,21.148247388151027
Bhlhe40,PMBL,M02243095,WT,WT,Male,2016-01-06,48.5081447401144,6.309122121588824,1.656615269833375,17.09110282365477,4.487689629445411,9.266560113656544,2.4331633921909974,37.41786538803055,9.824981347923401,10.62215118688214,2.789107187266849,15.959273071686496,4.190499875652823,22.981534444168116,0.10009947774185525,2.1527605073364833,26.257460830639147
Bhlhe40,PMBL,M02243096,WT,WT,Male,2016-01-06,52.481019392428266,9.151236955662146,1.7059311794737027,14.248628947685113,2.6561633694304057,7.794797737548782,1.4530700672052916,32.00268193305483,5.965791641161559,11.614833152818608,2.1651833643667735,20.382691216669247,3.799646827698708,26.39594396674668,0.05512308150844954,2.426377035467857,18.641536523848746
Sh3bgrl3,PMAR,M02242883,Sh3bgrl3(b):Hom,Hom,Female,2016-01-13,45.341863254698126,7.558673682452184,1.8399419893059723,15.841198251621705,3.8560846847701598,8.874133466967344,2.1601528879973433,35.961468860491664,8.753786620944842,13.5332275397422,3.2942755101349293,14.504858153066621,3.530791073401148,27.565245088405316,0.22736668044646546,2.52339742069274,24.342127555757358
Fads3,PMCX,M02243037,Fads3(b):Hom,Hom,Male,2016-01-13,51.908199312550884,5.989962235773022,1.2481732180998744,17.409145155225687,3.6276737444174567,8.759338880805636,1.8252489362934297,39.20940345599895,8.170356567387387,11.952132616194477,2.4905552395000496,12.838202357403262,2.6751922166316358,25.45810069187768,0.08039543653700064,1.7155568576285392,20.8377477014059
Fam71b,MGYH,M02243851,Fam71b:Hom,Hom,Male,2016-01-13,55.35798886161165,7.510323800702405,1.2894291327495784,15.889004669831348,2.7279443676927104,7.878893134190113,1.3527079005695088,36.34363783721199,6.239750330474194,12.824669059472809,2.201836078174126,14.831538728725253,2.546390625465894,25.573236062934214,0.0808377976338379,1.8191817492106719,17.168755528609623
Nmrk1,MGEW,M02243990,Nmrk1:Hom,Hom,Female,2016-01-13,42.958737601308094,12.262224610424504,2.5557077847172707,11.137381336199176,2.321266579808938,8.242880171950565,1.7179911225925912,38.045853483790076,7.929563110601745,11.898620813182877,2.4799250385446725,14.055167472684937,2.9293951192924954,33.037170877026625,0.19300334862676438,2.9689664054712903,20.842121767567225
Cnot4,MUGA,M02244431,WT,WT,Male,2016-01-13,54.72577319587629,7.750081195193245,1.3120274914089347,15.650373497888925,2.649484536082474,9.124309840857421,1.5446735395189002,38.963543358233196,6.596219931271477,11.704287106203312,1.9814432989690722,13.332250730756739,2.257044673539519,26.625429553264606,0.11683848797250859,1.6027491408934706,16.929209621993127
Cnot4,MUGA,M02244432,WT,WT,Male,2016-01-13,55.42138071904071,7.652708755821987,1.2114541330200628,15.746662803913267,2.492759144997019,6.217547300158224,0.9842623853016816,39.70984779265928,6.286226323903464,10.743654313284159,1.7007630679352717,13.547121877298151,2.144563096863413,26.901407953827867,0.05044785702442311,1.7963670487298078,15.830396421377191
Cnot4,MUGA,M02244433,WT,WT,Male,2016-01-13,51.288895876626924,6.724047903788172,1.3644318057530351,16.67536930047668,3.383736191622006,7.754888915090367,1.5736082248714862,36.30345803365393,7.3666329432352615,13.48009904158736,2.735357650661708,14.216173423840726,2.884720551241387,26.48918571584819,0.07109263917751285,1.8590041561850597,20.291821612162313
